Name,SMILES,BoM,Reference,Enzyme
Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,"<19,H;><17,H;><8,H;><13,H;><9,H;>",P450Rdb Dataset,CYP1A1
Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,"<19,H;><17,H;>",P450Rdb Dataset,CYP1B1
Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,"<19,H;><17,H;>",P450Rdb Dataset,CYP3A5
Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,"<19,H;><17,H;><9,H;>",P450Rdb Dataset,CYP3A7
"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,"<2,H;><3,4;>",P450Rdb Dataset,CYP1A1
"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate",CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,"<3,4;>",P450Rdb Dataset,CYP2J2
"(5Z,8Z,11Z,14Z)-Eicosatetraenoate",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],"<9,10;><12,13;><6,7;>",P450Rdb Dataset,CYP1B1
"(5Z,8Z,11Z,14Z)-Eicosatetraenoate",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],"<9,10;><12,13;><6,7;>",P450Rdb Dataset,CYP2J2
"(5Z,8Z,11Z,14Z)-Eicosatetraenoate",CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],"<2,H;><3,H;><9,10;><12,13;><6,7;><5,H;><4,H;>",P450Rdb Dataset,CYP1A1
"(12S)-Hydroperoxy-(5Z,8Z,10E,14Z)-Eicosatetraenoate",CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)[O-])OO,"<23,24; ><9,23;>",P450Rdb Dataset,CYP1A1
"(12S)-Hydroperoxy-(5Z,8Z,10E,14Z)-Eicosatetraenoate",CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)[O-])OO,"<23,24; ><9,23;>",P450Rdb Dataset,CYP1B1
