Name,SMILES,BoM,Enzyme
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,"<3,H;Hydroxylation;R1><4,H;Hydroxylation;R2>",CYP1A2
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,"<2,H;Hydroxylation;R1>",CYP2D6
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,"<2,H;Hydroxylation;R1><3,H;Hydroxylation;R2>",CYP2E1
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,"<2,H;Hydroxylation;R1><8,H;Hydroxylation;R2>",CYP3A4
1-Nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,"<12,H;Hydroxylation;R1><10,H;Hydroxylation;R2><1,2;Reduction;R3><0,1;Reduction;R3>",CYP1A2
1-Nitropyrene,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,"<5,H;Hydroxylation;R1><7,8;EpOxidation;R2><10,H;Hydroxylation;R3>",CYP3A4
2-Acetylaminofluorene,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,"<3,H;Hydroxylation;R1><9,H;Hydroxylation;R2><5,H;Hydroxylation;R3><10,H;Hydroxylation;R4><14,H;Hydroxylation;R5><15,H;Hydroxylation;R6>",CYP1A2
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP1A2
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2A6
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2B6
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2C8
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2C9
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2D6
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP2E1
2-Acetylbenzothiophene,CC(=O)c1cc2ccccc2s1,"<11,S;S-Oxidation;R1>",CYP3A4
2-Naphthylamine,Nc1ccc2ccccc2c1,"<0,H;Hydroxylation;R1>",CYP1A2
2-Nitropyrene,O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34,"<9,H;Hydroxylation;R1><6,7;EpOxidation;R2><1,2;Reduction;R3><0,1;Reduction;R3><13,14;EpOxidation;R4>",CYP1A2
3-O-Methylfluorescein,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,"<26,H;Oxidation;R1><26,4;Cleavage;R1>",CYP1A2
3-O-Methylfluorescein,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2B6
3-O-Methylfluorescein,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C8
3-O-Methylfluorescein,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C9
3-O-Methylfluorescein,COc1ccc2c(c1)Oc1cc(O)ccc1[C@@]21OC(=O)c2ccccc21,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C19
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP1A2
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2A6
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2B6
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C9
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C19
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2D6
3-Cyano-7-ethoxycoumarin,CCOc1ccc2cc(C#N)c(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2E1
3-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP1A2
3-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2B6
3-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C9
3-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C19
3-Ethoxy-4-trifluoromethylcoumarin,CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2E1
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP1A2
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2A6
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2B6
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C9
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C19
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2D6
3-Methoxy-4-trifluoromethylcoumarin,COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2E1
3-Methylether-estradiol,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@H]2O,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP1A2
3-Methylether-estradiol,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@H]2O,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C9
3-Methylether-estradiol,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@H]2O,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C19
3-Methylether-estradiol,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@H]2O,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP3A4
3-Methylindole,Cc1c[nH]c2ccccc12,"<0,H;Oxidation;R1><1,2;Reduction;R2><2,H;Oxidation;R2>",CYP1A2
